rit,minuten,halte
IC Liege-Guillemins -- Quievrain,25,Leuven
IC Liege-Guillemins -- Quievrain,25,Leuven
IC Liege-Guillemins -- Quievrain,24,Tienen
IC Liege-Guillemins -- Quievrain,24,Tienen
IC Liege-Guillemins -- Quievrain,24,Tienen
P Namur -- Arlon,39,Marbehan
P Namur -- Arlon,39,Marbehan
P Namur -- Arlon,39,Marbehan
IC Liege-Guillemins -- Quievrain,25,Borgworm
IC Saint-Nicolas -- Courtrai,24,Moeskroen
IC Saint-Nicolas -- Courtrai,24,Moeskroen
IC Saint-Nicolas -- Courtrai,24,Moeskroen
IC Saint-Nicolas -- Courtrai,24,Moeskroen
IC Saint-Nicolas -- Courtrai,24,Moeskroen
IC Liege-Guillemins -- Quievrain,24,Boussu
IC Liege-Guillemins -- Quievrain,24,Boussu
IC Liege-Guillemins -- Quievrain,29,Saint-Ghislain
IC Liege-Guillemins -- Quievrain,30,Quaregnon
IC Liege-Guillemins -- Quievrain,30,Quaregnon
IC Liege-Guillemins -- Quievrain,30,Jemappes
IC Liege-Guillemins -- Quievrain,33,Bergen
IC Liege-Guillemins -- Quievrain,33,Bergen
IC Liege-Guillemins -- Quievrain,33,Bergen
IC Liege-Guillemins -- Quievrain,35,Jurbeke
IC Saint-Nicolas -- Courtrai,30,Doornik
IC Saint-Nicolas -- Courtrai,30,Doornik
IC Saint-Nicolas -- Courtrai,28,Leuze
IC Saint-Nicolas -- Courtrai,28,Leuze
IC Saint-Nicolas -- Courtrai,28,Leuze
IC Saint-Nicolas -- Courtrai,30,Aat
IC Saint-Nicolas -- Courtrai,30,Aat
IC Saint-Nicolas -- Courtrai,30,Aat
IC Saint-Nicolas -- Courtrai,30,Aat
IC Saint-Nicolas -- Courtrai,30,Aat
IC Saint-Nicolas -- Courtrai,28,Opzullik
IC Saint-Nicolas -- Courtrai,30,Edingen
IC Saint-Nicolas -- Courtrai,30,Edingen
IC Saint-Nicolas -- Courtrai,29,Halle
IC Saint-Nicolas -- Courtrai,30,Edingen
IC Saint-Nicolas -- Courtrai,30,Edingen
IC Saint-Nicolas -- Courtrai,29,Brussel-Zuid
IC Saint-Nicolas -- Courtrai,29,Brussel-Zuid
L Liege-Guillemins -- Namur,9,Nameche
IC Anvers-Luchtbal -- Charleroi-Sud,8,Brussel-Noord
S41 Liege-Saint-Lambert -- Verviers-Central,24,Angleur
S41 Liege-Saint-Lambert -- Verviers-Central,24,Angleur
S41 Liege-Saint-Lambert -- Verviers-Central,24,Angleur
S41 Liege-Saint-Lambert -- Verviers-Central,24,Angleur
L Libramont -- Arlon,18,Aubange
L Libramont -- Arlon,18,Aubange
L Libramont -- Arlon,18,Aubange
L Libramont -- Arlon,18,Aubange
S2 Louvain -- Braine-Le-Comte,13,Brussel-Zuid
L Libramont -- Arlon,18,Aubange
L Libramont -- Arlon,18,Aubange
S2 Louvain -- Braine-Le-Comte,13,Brussel-Zuid
S32 Roosendaal (nl) -- Puurs,30,Kijkuit
S32 Roosendaal (nl) -- Puurs,41,Boom
S32 Roosendaal (nl) -- Puurs,36,Hemiksem,2022-12-08(10:05:01)
S32 Roosendaal (nl) -- Puurs,53,Heide,2022-12-08(10:10:01)
S32 Roosendaal (nl) -- Puurs,41,Boom,2022-12-08(10:15:01)
S32 Roosendaal (nl) -- Puurs,39,Antwerpen-Berchem,2022-12-08(10:30:01)
S8 Louvain-La-Neuve -- Bruxelles-Midi,15,Bosvoorde,2022-12-08(15:55:01)
S8 Louvain-La-Neuve -- Bruxelles-Midi,15,Watermaal,2022-12-08(16:00:01)
IC Anvers-Central -- Louvain,17,Wezemaal,2022-12-08(16:05:01)
IC Anvers-Central -- Louvain,19,Aarschot,2022-12-08(16:10:01)
IC Anvers-Central -- Louvain,19,Aarschot,2022-12-08(16:15:01)
S8 Louvain-La-Neuve -- Bruxelles-Midi,18,Brussel-Schuman,2022-12-08(16:20:01)
S32 Roosendaal (nl) -- Puurs,26,Kalmthout,2022-12-08(16:50:02)
IC Luxembourg (l) -- Bruxelles-Midi,26,Gembloux,2022-12-08(16:55:01)
IC Luxembourg (l) -- Bruxelles-Midi,26,Gembloux,2022-12-08(17:00:01)
IC Luxembourg (l) -- Bruxelles-Midi,26,Gembloux,2022-12-08(17:05:01)
IC Luxembourg (l) -- Bruxelles-Midi,27,Ottignies,2022-12-08(17:10:01)
IC Luxembourg (l) -- Bruxelles-Midi,27,Ottignies,2022-12-08(17:15:01)
IC Luxembourg (l) -- Bruxelles-Midi,27,Ottignies,2022-12-08(17:20:01)
IC Luxembourg (l) -- Bruxelles-Midi,27,Ottignies,2022-12-08(17:25:02)
IC Luxembourg (l) -- Bruxelles-Midi,26,Brussel-Luxemburg,2022-12-08(17:30:01)
IC Luxembourg (l) -- Bruxelles-Midi,26,Brussel-Luxemburg,2022-12-08(17:35:01)
IC Luxembourg (l) -- Bruxelles-Midi,26,Brussel-Luxemburg,2022-12-08(17:40:01)
IC Luxembourg (l) -- Bruxelles-Midi,27,Brussel-Noord,2022-12-08(17:45:01)
,17,Opzullik,2022-12-08(17:50:01)
IC Eupen -- Ostende,17,Gent-Sint-Pieters,2022-12-08(17:55:01)
IC Eupen -- Ostende,21,Gent-Sint-Pieters,2022-12-08(18:00:01)
IC Eupen -- Ostende,21,Gent-Sint-Pieters,2022-12-08(18:05:01)
IC Eupen -- Ostende,21,Gent-Sint-Pieters,2022-12-08(18:10:01)
IC Eupen -- Ostende,21,Gent-Sint-Pieters,2022-12-08(18:15:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,20,Luik-Guillemins,2022-12-08(18:20:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,20,Luik-Guillemins,2022-12-08(18:25:01)
S1 Nivelles -- Anvers-Central,21,Vorst-Oost,2022-12-08(18:30:01)
IC Bruxelles-Midi -- Anvers-Central,25,Antwerpen-Berchem,2022-12-08(18:35:01)
S1 Nivelles -- Anvers-Central,25,Sint-Genesius-Rode,2022-12-08(18:40:01)
P Namur -- Rochefort-Jemelle,25,Ciney,2022-12-08(18:45:01)
P Namur -- Rochefort-Jemelle,26,Ciney,2022-12-08(18:50:01)
P Namur -- Rochefort-Jemelle,26,Ciney,2022-12-08(18:55:01)
L Yvoir -- Libramont,46,Houyet,2022-12-08(19:00:01)
L Yvoir -- Libramont,44,Gendron-Celles,2022-12-08(19:05:01)
IC Tongres -- Gand-Saint-Pierre,23,Merelbeke,2022-12-08(19:10:01)
IC Tongres -- Gand-Saint-Pierre,21,Melle,2022-12-08(19:15:01)
IC Landen -- Gand-Saint-Pierre,30,Erembodegem,2022-12-08(19:20:01)
IC Landen -- Gand-Saint-Pierre,30,Erembodegem,2022-12-08(19:25:01)
IC Landen -- Gand-Saint-Pierre,34,Liedekerke,2022-12-08(19:30:01)
IC Landen -- Gand-Saint-Pierre,34,Liedekerke,2022-12-08(19:35:01)
IC Landen -- Gand-Saint-Pierre,34,Liedekerke,2022-12-08(19:40:01)
IC Genk -- Blankenberge,43,Landen,2022-12-08(19:45:01)
IC Genk -- Blankenberge,49,Landen,2022-12-08(19:50:01)
IC Genk -- Blankenberge,52,Landen,2022-12-08(19:55:01)
IC Genk -- Blankenberge,52,Landen,2022-12-08(20:00:01)
IC Genk -- Blankenberge,52,Sint-Truiden,2022-12-08(20:05:01)
IC Genk -- Blankenberge,52,Landen,2022-12-08(20:10:01)
IC Genk -- Blankenberge,51,Alken,2022-12-08(20:15:01)
IC Genk -- Blankenberge,51,Alken,2022-12-08(20:20:01)
IC Genk -- Blankenberge,55,Hasselt,2022-12-08(20:25:01)
IC Genk -- Blankenberge,55,Hasselt,2022-12-08(20:30:02)
IC Genk -- Blankenberge,55,Hasselt,2022-12-08(20:35:01)
S1 Nivelles -- Anvers-Central,26,Sint-Genesius-Rode,2022-12-08(20:40:01)
S1 Nivelles -- Anvers-Central,13,Sint-Katelijne-Waver,2022-12-08(20:45:01)
IC Schaerbeek -- Courtrai,13,Zottegem,2022-12-08(21:00:01)
L Libramont -- Arlon,13,Halanzy,2022-12-08(21:15:01)
L Libramont -- Arlon,13,Halanzy,2022-12-08(21:20:02)
L Libramont -- Arlon,13,Halanzy,2022-12-08(21:25:01)
S1 Nivelles -- Anvers-Central,21,Eigenbrakel,2022-12-08(21:30:01)
S32 Roosendaal (nl) -- Puurs,34,Ekeren,2022-12-08(21:35:01)
S1 Nivelles -- Anvers-Central,22,Waterloo,2022-12-08(21:40:01)
S1 Nivelles -- Anvers-Central,21,Linkebeek,2022-12-08(21:45:01)
S32 Roosendaal (nl) -- Puurs,33,Heide,2022-12-08(21:50:01)
S32 Roosendaal (nl) -- Puurs,35,Kalmthout,2022-12-08(21:55:01)
S32 Roosendaal (nl) -- Puurs,34,Wildert,2022-12-08(22:00:01)
S1 Nivelles -- Anvers-Central,18,Brussel-Centraal,2022-12-08(22:05:01)
L Liege-Guillemins -- Namur,12,Bas-Oha,2022-12-08(22:10:01)
S1 Nivelles -- Anvers-Central,20,Schaarbeek,2022-12-08(22:15:01)
L Liege-Guillemins -- Namur,22,Bas-Oha,2022-12-08(22:20:01)
L Liege-Guillemins -- Namur,28,Bas-Oha,2022-12-08(22:25:01)
L Liege-Guillemins -- Namur,30,Statte,2022-12-08(22:30:01)
L Liege-Guillemins -- Namur,33,Statte,2022-12-08(22:35:01)
L Liege-Guillemins -- Namur,32,Hoei,2022-12-08(22:40:01)
L Liege-Guillemins -- Namur,32,Hoei,2022-12-08(22:45:01)
L Liege-Guillemins -- Namur,37,Ampsin,2022-12-08(22:50:01)
L Liege-Guillemins -- Namur,37,Ampsin,2022-12-08(22:55:01)
L Liege-Guillemins -- Namur,37,Ampsin,2022-12-08(23:00:01)
L Liege-Guillemins -- Namur,31,Bas-Oha,2022-12-08(23:05:01)
L Liege-Guillemins -- Namur,31,Bas-Oha,2022-12-08(23:10:01)
L Liege-Guillemins -- Namur,31,Bas-Oha,2022-12-08(23:15:01)
L Liege-Guillemins -- Namur,31,Bas-Oha,2022-12-08(23:20:01)
L Liege-Guillemins -- Namur,31,Bas-Oha,2022-12-08(23:25:01)
S1 Anvers-Central -- Charleroi-Sud,14,Mortsel,2022-12-08(23:30:01)
S1 Anvers-Central -- Charleroi-Sud,14,Mortsel-Liersesteenweg,2022-12-08(23:35:01)
S1 Anvers-Central -- Charleroi-Sud,14,Kontich-Lint,2022-12-08(23:40:01)
S1 Anvers-Central -- Charleroi-Sud,12,Sint-Katelijne-Waver,2022-12-08(23:45:01)
S1 Anvers-Central -- Charleroi-Sud,12,Mechelen-Nekkerspoel,2022-12-08(23:50:01)
S1 Anvers-Central -- Charleroi-Sud,12,Mechelen,2022-12-08(23:55:01)
S1 Anvers-Central -- Charleroi-Sud,12,Mechelen,2022-12-09(00:00:01)
S1 Anvers-Central -- Charleroi-Sud,7,Weerde,2022-12-09(00:05:01)
S1 Anvers-Central -- Charleroi-Sud,7,Weerde,2022-12-09(00:10:01)
S1 Anvers-Central -- Charleroi-Sud,7,Schaarbeek,2022-12-09(00:15:01)
S1 Anvers-Central -- Charleroi-Sud,7,Schaarbeek,2022-12-09(00:20:01)
S1 Anvers-Central -- Charleroi-Sud,7,Brussel-Centraal,2022-12-09(00:25:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(00:30:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(00:35:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(00:40:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(00:45:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(00:50:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(00:55:01)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(01:00:02)
S1 Anvers-Central -- Charleroi-Sud,6,Brussel-Zuid,2022-12-09(01:05:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:10:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:15:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:20:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:25:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:30:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:35:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:40:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:45:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:50:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(03:55:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(04:00:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(04:05:01)
IC Anvers-Central -- Poperinge,2,Gent-Dampoort,2022-12-09(04:10:01)
IC Anvers-Central -- Gand-Saint-Pierre,2,Gent-Dampoort,2022-12-09(04:15:01)
IC Anvers-Central -- Gand-Saint-Pierre,2,Gent-Dampoort,2022-12-09(04:20:01)
IC Anvers-Central -- Gand-Saint-Pierre,2,Gent-Dampoort,2022-12-09(04:25:01)
IC Genk -- Bruges,4,Aalter,2022-12-09(04:30:01)
IC Genk -- Bruges,4,Aalter,2022-12-09(04:35:01)
IC Genk -- Bruges,4,Aalter,2022-12-09(04:40:01)
P Schaerbeek -- Ostende,8,Brugge,2022-12-09(04:45:02)
P Schaerbeek -- Ostende,8,Brugge,2022-12-09(04:50:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(04:55:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(05:00:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(05:05:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(05:10:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(05:15:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(05:20:01)
IC Genk -- Bruges,18,Gent-Sint-Pieters,2022-12-09(05:25:01)
IC Genk -- Bruges,22,Brussel-Zuid,2022-12-09(05:30:01)
IC Genk -- Bruges,22,Brussel-Zuid,2022-12-09(05:35:01)
IC Genk -- Bruges,25,Brussel-Centraal,2022-12-09(05:40:01)
IC Genk -- Bruges,26,Brussel-Centraal,2022-12-09(05:45:01)
IC Eupen -- Ostende,29,Gent-Sint-Pieters,2022-12-09(05:50:01)
IC Eupen -- Ostende,29,Gent-Sint-Pieters,2022-12-09(05:55:01)
IC Eupen -- Ostende,29,Gent-Sint-Pieters,2022-12-09(06:00:01)
P Anvers-Central -- Louvain,36,Wezemaal,2022-12-09(06:05:01)
P Anvers-Central -- Louvain,37,Aarschot,2022-12-09(06:10:01)
P Malines -- Hasselt,34,Diest,2022-12-09(07:15:01)
P Malines -- Hasselt,35,Testelt,2022-12-09(07:20:01)
P Malines -- Hasselt,36,Testelt,2022-12-09(07:25:01)
P Malines -- Hasselt,36,Testelt,2022-12-09(07:30:01)
IC Eupen -- Ostende,33,Luik-Guillemins,2022-12-09(07:35:01)
P Bruxelles-Midi -- Gembloux,34,Ottignies,2022-12-09(07:40:01)
P Bruxelles-Midi -- Gembloux,34,Ottignies,2022-12-09(07:45:01)
IC Genk -- Blankenberge,24,Landen,2022-12-09(08:25:01)
IC Genk -- Blankenberge,25,Tienen,2022-12-09(08:30:01)
IC Genk -- Blankenberge,29,Landen,2022-12-09(08:35:01)
IC Genk -- Blankenberge,29,Landen,2022-12-09(08:40:01)
IC Genk -- Blankenberge,29,Landen,2022-12-09(08:45:01)
S1 Nivelles -- Anvers-Central,29,Schaarbeek,2022-12-09(08:50:01)
S1 Nivelles -- Anvers-Central,29,Schaarbeek,2022-12-09(08:55:01)
S1 Nivelles -- Anvers-Central,29,Schaarbeek,2022-12-09(09:00:01)
IC Genk -- Blankenberge,36,Alken,2022-12-09(09:05:01)
IC Genk -- Blankenberge,36,Hasselt,2022-12-09(09:10:01)
IC Genk -- Blankenberge,36,Hasselt,2022-12-09(09:15:01)
IC Genk -- Blankenberge,38,Kiewit,2022-12-09(09:20:01)
IC Luxembourg (l) -- Bruxelles-Midi,28,Libramont,2022-12-09(09:25:01)
IC Luxembourg (l) -- Bruxelles-Midi,28,Libramont,2022-12-09(09:30:01)
IC Luxembourg (l) -- Bruxelles-Midi,28,Libramont,2022-12-09(09:35:01)
IC Luxembourg (l) -- Bruxelles-Midi,26,Marbehan,2022-12-09(09:40:01)
IC Luxembourg (l) -- Bruxelles-Midi,26,Marbehan,2022-12-09(09:45:01)
S61 Wavre -- Jambes,24,Aiseau,2022-12-09(09:50:01)
S4 Malines -- Alost,22,Etterbeek,2022-12-09(09:55:01)
S1 Nivelles -- Anvers-Central,25,Vilvoorde,2022-12-09(10:00:01)
S1 Nivelles -- Anvers-Central,25,Vilvoorde,2022-12-09(10:05:01)
S1 Nivelles -- Anvers-Central,25,Vilvoorde,2022-12-09(10:10:01)
S1 Nivelles -- Anvers-Central,36,Kontich-Lint,2022-12-09(10:35:01)
S1 Nivelles -- Anvers-Central,36,Kontich-Lint,2022-12-09(10:40:01)
S1 Nivelles -- Anvers-Central,35,Sint-Katelijne-Waver,2022-12-09(10:45:01)
S1 Nivelles -- Anvers-Central,34,Mechelen,2022-12-09(10:50:01)
S1 Nivelles -- Anvers-Central,35,Sint-Katelijne-Waver,2022-12-09(10:53:53)
S1 Nivelles -- Anvers-Central,35,Sint-Katelijne-Waver,2022-12-09(10:55:01)
IC Brussels Airport - Zaventem -- Ostende,36,Brussel-Noord,2022-12-09(10:55:46)
IC Brussels Airport - Zaventem -- Ostende,36,Brussel-Noord,2022-12-09(10:56:17)
IC Brussels Airport - Zaventem -- Ostende,37,Brussel-Noord,2022-12-09(10:56:40)
IC Brussels Airport - Zaventem -- Ostende,38,Brussel-Noord,2022-12-09(11:00:01)
S2 Louvain -- Braine-Le-Comte,29,Brussel-Zuid,2022-12-09(11:30:01)
S8 Louvain-La-Neuve -- Bruxelles-Midi,27,Brussel-Centraal,2022-12-09(11:35:01)
L Liege-Guillemins -- Namur,18,Ampsin,2022-12-09(11:36:50)
S64 Charleroi-Sud -- Couvin,21,Philippeville,2022-12-09(11:47:04)
S64 Charleroi-Sud -- Couvin,21,Philippeville,2022-12-09(11:47:31)
S4 Malines -- Alost,19,Etterbeek,2022-12-09(11:50:01)
S4 Malines -- Alost,19,Etterbeek,2022-12-09(11:52:04)
S4 Malines -- Alost,19,Etterbeek,2022-12-09(11:53:56)
S4 Malines -- Alost,18,Delta,2022-12-09(11:54:33)
S4 Malines -- Alost,18,Delta,2022-12-09(11:55:01)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(11:58:58)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(11:59:34)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(12:00:01)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(12:03:46)
S4 Malines -- Alost,20,Meiser,2022-12-09(12:04:05)
S4 Malines -- Alost,20,Meiser,2022-12-09(12:04:11)
S4 Malines -- Alost,21,Meiser,2022-12-09(12:05:01)
S4 Malines -- Alost,21,Meiser,2022-12-09(12:10:01)
S2 Louvain -- Braine-Le-Comte,17,Schaarbeek,2022-12-09(12:15:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,21,Flemalle-Haute,2022-12-09(12:20:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,21,Flemalle-Haute,2022-12-09(12:25:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,19,Hoei,2022-12-09(12:30:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,19,Statte,2022-12-09(12:35:01)
IC Brussels Airport - Zaventem -- Knokke,24,Heist,2022-12-09(12:40:02)
IC Brussels Airport - Zaventem -- Knokke,32,Heist,2022-12-09(12:45:01)
IC Brussels Airport - Zaventem -- Knokke,32,Heist,2022-12-09(12:50:01)
IC Brussels Airport - Zaventem -- Knokke,32,Heist,2022-12-09(12:55:01)
IC Brussels Airport - Zaventem -- Knokke,30,Brugge,2022-12-09(13:00:01)
IC Brussels Airport - Zaventem -- Knokke,30,Brugge,2022-12-09(13:05:01)
IC Brussels Airport - Zaventem -- Knokke,30,Brugge,2022-12-09(13:10:01)
L Malines -- Zeebrugge-Dorp,23,Beernem,2022-12-09(13:12:11)
L Malines -- Zeebrugge-Dorp,23,Beernem,2022-12-09(13:15:01)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:18:10)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:20:01)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:25:01)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:30:01)
L Malines -- Zeebrugge-Dorp,35,Bellem,2022-12-09(13:35:01)
