dateTime,minuten
2022-12-07(09:30:02),499
2022-12-07(09:35:01),493
2022-12-07(09:40:01),482
2022-12-07(09:45:01),477
2022-12-07(09:50:01),437
2022-12-07(09:55:01),376
2022-12-07(10:00:01),411
2022-12-07(10:05:01),368
2022-12-07(10:10:01),339
2022-12-07(10:15:01),321
2022-12-07(10:20:01),344
2022-12-07(10:25:01),345
2022-12-07(10:30:01),334
2022-12-07(10:35:01),333
2022-12-07(10:40:01),320
2022-12-07(10:45:01),313
2022-12-07(10:50:01),297
2022-12-07(10:55:01),294
2022-12-07(11:00:01),315
2022-12-07(11:05:01),286
2022-12-07(11:10:01),369
2022-12-07(11:15:01),430
2022-12-07(11:20:01),390
2022-12-07(11:25:01),370
2022-12-07(11:30:01),387
2022-12-07(11:35:01),367
2022-12-07(11:40:01),396
2022-12-07(11:45:01),423
2022-12-07(11:50:01),358
2022-12-07(11:55:01),454
2022-12-07(12:00:01),445
2022-12-07(12:05:01),450
2022-12-07(12:10:01),457
2022-12-07(12:50:01),435
2022-12-07(12:55:01),427
2022-12-07(13:00:01),433
2022-12-07(13:05:01),403
2022-12-07(13:10:02),402
2022-12-07(13:15:01),364
2022-12-07(13:20:01),349
2022-12-07(13:40:01),298
2022-12-07(13:45:01),323
2022-12-07(13:50:01),341
2022-12-07(13:55:01),304
2022-12-07(14:00:01),314
2022-12-07(14:05:01),299
2022-12-07(14:10:01),310
2022-12-07(14:15:01),290
2022-12-07(14:20:01),302
2022-12-07(14:25:01),301
2022-12-07(14:30:01),285
2022-12-07(14:35:01),283
2022-12-07(14:40:01),275
2022-12-07(14:45:01),304
2022-12-07(14:50:01),265
2022-12-07(14:55:01),301
2022-12-07(15:00:01),329
2022-12-07(15:05:01),294
2022-12-07(15:10:01),303
2022-12-07(15:15:01),361
2022-12-07(15:20:01),249
2022-12-07(15:25:01),260
2022-12-07(15:30:01),291
2022-12-07(15:50:02),249
2022-12-07(15:55:01),272
2022-12-07(16:00:01),280
2022-12-07(16:05:01),276
2022-12-07(16:10:01),287
2022-12-07(16:15:01),354
2022-12-07(16:20:01),389
2022-12-07(16:50:01),521
2022-12-07(16:55:01),547
2022-12-07(17:00:02),519
2022-12-07(17:05:01),559
2022-12-07(17:10:02),528
2022-12-07(17:15:01),571
2022-12-07(17:20:02),585
2022-12-07(17:25:01),575
2022-12-07(17:30:01),581
2022-12-07(17:35:01),638
2022-12-07(17:40:01),607
2022-12-07(17:45:01),644
2022-12-07(17:50:01),645
2022-12-07(17:55:01),641
2022-12-07(18:00:01),680
2022-12-07(18:05:01),611
2022-12-07(18:10:01),585
2022-12-07(18:15:01),633
2022-12-07(18:20:01),609
2022-12-07(18:25:09),547
2022-12-07(18:28:03),550
2022-12-07(18:29:11),530
2022-12-07(18:29:19),530
2022-12-07(18:30:01),515
2022-12-07(18:35:01),510
2022-12-07(18:40:01),519
2022-12-07(18:45:01),500
2022-12-07(18:50:01),526
2022-12-07(18:55:01),478
2022-12-07(19:00:01),486
2022-12-07(19:05:01),481
2022-12-07(19:10:01),481
2022-12-07(19:15:01),483
2022-12-07(19:20:01),451
2022-12-07(19:25:01),394
2022-12-07(19:30:01),399
2022-12-07(19:35:01),365
2022-12-07(19:40:01),367
2022-12-07(19:45:01),352
2022-12-07(19:50:01),409
2022-12-07(19:55:01),388
2022-12-07(20:00:01),365
2022-12-07(20:05:01),372
2022-12-07(20:10:01),394
2022-12-07(20:15:01),430
2022-12-07(20:20:01),462
2022-12-07(20:25:01),495
2022-12-07(20:30:01),450
2022-12-07(20:35:01),413
2022-12-07(20:40:01),335
2022-12-07(20:45:01),326
2022-12-07(20:50:01),364
2022-12-07(20:55:01),325
2022-12-07(21:00:02),284
2022-12-07(21:05:01),286
2022-12-07(21:10:02),280
2022-12-07(21:15:01),277
2022-12-07(21:20:01),253
2022-12-07(21:25:01),232
2022-12-07(21:30:01),220
2022-12-07(21:35:01),224
2022-12-07(21:40:01),201
2022-12-07(21:45:01),190
2022-12-07(21:50:01),178
2022-12-07(21:55:01),154
2022-12-07(22:00:01),154
2022-12-07(22:05:01),159
2022-12-07(22:10:01),175
2022-12-07(22:15:01),130
2022-12-07(22:20:02),142
2022-12-07(22:25:01),141
2022-12-07(22:30:01),137
2022-12-07(22:35:02),134
2022-12-07(22:40:01),121
2022-12-07(22:45:02),109
2022-12-07(22:50:01),115
2022-12-07(22:55:02),117
2022-12-07(23:00:01),70
2022-12-08(07:55:01),521
2022-12-08(10:00:01),392
2022-12-08(10:05:01),417
2022-12-08(10:10:01),483
2022-12-08(10:15:01),416
2022-12-08(10:30:01),443
2022-12-08(15:55:01),259
2022-12-08(16:00:01),253
2022-12-08(16:05:01),280
2022-12-08(16:10:01),311
2022-12-08(16:15:01),383
2022-12-08(16:20:01),399
2022-12-08(16:50:02),584
2022-12-08(16:55:01),561
2022-12-08(17:00:01),575
2022-12-08(17:05:01),626
2022-12-08(17:10:01),608
2022-12-08(17:15:01),631
2022-12-08(17:20:01),660
2022-12-08(17:25:02),676
2022-12-08(17:30:01),688
2022-12-08(17:35:01),673
2022-12-08(17:40:01),695
2022-12-08(17:45:01),648
2022-12-08(17:50:01),580
2022-12-08(17:55:01),612
2022-12-08(18:00:01),597
2022-12-08(18:05:01),645
2022-12-08(18:10:01),616
2022-12-08(18:15:01),604
2022-12-08(18:20:01),578
2022-12-08(18:25:01),536
2022-12-08(18:30:01),579
2022-12-08(18:35:01),624
2022-12-08(18:40:01),606
2022-12-08(18:45:01),534
2022-12-08(18:50:01),632
2022-12-08(18:55:01),552
2022-12-08(19:00:01),606
2022-12-08(19:05:01),553
2022-12-08(19:10:01),495
2022-12-08(19:15:01),461
2022-12-08(19:20:01),492
2022-12-08(19:25:01),501
2022-12-08(19:30:01),523
2022-12-08(19:35:01),484
2022-12-08(19:40:01),489
2022-12-08(19:45:01),491
2022-12-08(19:50:01),507
2022-12-08(19:55:01),465
2022-12-08(20:00:01),525
2022-12-08(20:05:01),494
2022-12-08(20:10:01),481
2022-12-08(20:15:01),520
2022-12-08(20:20:01),464
2022-12-08(20:25:01),393
2022-12-08(20:30:02),352
2022-12-08(20:35:01),323
2022-12-08(20:40:01),244
2022-12-08(20:45:01),228
2022-12-08(20:50:01),196
2022-12-08(20:55:01),225
2022-12-08(21:00:01),237
2022-12-08(21:05:01),194
2022-12-08(21:10:01),184
2022-12-08(21:15:01),187
2022-12-08(21:20:02),188
2022-12-08(21:25:01),163
2022-12-08(21:30:01),202
2022-12-08(21:35:01),228
2022-12-08(21:40:01),225
2022-12-08(21:45:01),212
2022-12-08(21:50:01),244
2022-12-08(21:55:01),250
2022-12-08(22:00:01),231
2022-12-08(22:05:01),185
2022-12-08(22:10:01),162
2022-12-08(22:15:01),210
2022-12-08(22:20:01),223
2022-12-08(22:25:01),225
2022-12-08(22:30:01),223
2022-12-08(22:35:01),222
2022-12-08(22:40:01),172
2022-12-08(22:45:01),169
2022-12-08(22:50:01),173
2022-12-08(22:55:01),177
2022-12-08(23:00:01),139
2022-12-08(23:05:01),136
2022-12-08(23:10:01),133
2022-12-08(23:15:01),126
2022-12-08(23:20:01),111
2022-12-08(23:25:01),119
2022-12-08(23:30:01),69
2022-12-08(23:35:01),64
2022-12-08(23:40:01),56
2022-12-08(23:45:01),38
2022-12-08(23:50:01),42
2022-12-08(23:55:01),31
2022-12-09(00:00:01),25
2022-12-09(00:05:01),20
2022-12-09(00:10:01),17
2022-12-09(00:15:01),13
2022-12-09(00:20:01),11
2022-12-09(00:25:01),11
2022-12-09(00:30:01),10
2022-12-09(00:35:01),10
2022-12-09(00:40:01),7
2022-12-09(00:45:01),7
2022-12-09(00:50:01),7
2022-12-09(00:55:01),7
2022-12-09(01:00:02),6
2022-12-09(01:05:01),6
2022-12-09(01:10:01),0
2022-12-09(01:15:01),0
2022-12-09(01:20:01),0
2022-12-09(01:25:01),0
2022-12-09(01:30:01),0
2022-12-09(01:35:01),0
2022-12-09(01:40:02),0
2022-12-09(01:45:01),0
2022-12-09(01:50:01),0
2022-12-09(01:55:01),0
2022-12-09(02:00:01),0
2022-12-09(02:05:01),0
2022-12-09(02:10:01),0
2022-12-09(02:15:01),0
2022-12-09(02:20:01),0
2022-12-09(02:25:01),0
2022-12-09(02:30:01),0
2022-12-09(02:35:01),0
2022-12-09(02:40:01),0
2022-12-09(02:45:01),0
2022-12-09(02:50:01),0
2022-12-09(02:55:01),0
2022-12-09(03:00:01),0
2022-12-09(03:05:02),0
2022-12-09(03:10:01),0
2022-12-09(03:15:01),0
2022-12-09(03:20:01),0
2022-12-09(03:25:01),0
2022-12-09(03:30:01),0
2022-12-09(03:35:01),0
2022-12-09(03:40:01),2
2022-12-09(03:45:01),3
2022-12-09(03:50:01),5
2022-12-09(03:55:01),6
2022-12-09(04:00:01),6
2022-12-09(04:05:01),6
2022-12-09(04:10:01),6
2022-12-09(04:15:01),7
2022-12-09(04:20:01),9
2022-12-09(04:25:01),12
2022-12-09(04:30:01),19
2022-12-09(04:35:01),21
2022-12-09(04:40:01),29
2022-12-09(04:45:02),40
2022-12-09(04:50:01),47
2022-12-09(04:55:01),68
2022-12-09(05:00:01),78
2022-12-09(05:05:01),78
2022-12-09(05:10:01),96
2022-12-09(05:15:01),123
2022-12-09(05:20:01),118
2022-12-09(05:25:01),115
2022-12-09(05:30:01),142
2022-12-09(05:35:01),134
2022-12-09(05:40:01),140
2022-12-09(05:45:01),144
2022-12-09(05:50:01),193
2022-12-09(05:55:01),221
2022-12-09(06:00:01),244
2022-12-09(06:05:01),338
2022-12-09(06:10:01),315
2022-12-09(07:15:01),615
2022-12-09(07:20:01),718
2022-12-09(07:25:01),759
2022-12-09(07:30:01),803
2022-12-09(07:35:01),776
2022-12-09(07:40:01),926
2022-12-09(07:45:01),902
2022-12-09(08:25:01),731
2022-12-09(08:30:01),737
2022-12-09(08:35:01),788
2022-12-09(08:40:01),718
2022-12-09(08:45:01),684
2022-12-09(08:50:01),693
2022-12-09(08:55:01),624
2022-12-09(09:00:01),612
2022-12-09(09:05:01),674
2022-12-09(09:10:01),716
2022-12-09(09:15:01),689
2022-12-09(09:20:01),669
2022-12-09(09:25:01),587
2022-12-09(09:30:01),517
2022-12-09(09:35:01),580
2022-12-09(09:40:01),543
2022-12-09(09:45:01),513
2022-12-09(09:50:01),503
2022-12-09(09:55:01),459
2022-12-09(10:00:01),468
2022-12-09(10:05:01),475
2022-12-09(10:10:01),434
2022-12-09(10:35:01),469
2022-12-09(10:40:01),426
2022-12-09(10:45:01),434
2022-12-09(10:50:01),455
2022-12-09(10:53:53),431
2022-12-09(10:55:01),418
2022-12-09(10:55:46),417
2022-12-09(10:56:17),437
2022-12-09(10:56:40),437
2022-12-09(11:00:01),496
2022-12-09(11:30:01),467
2022-12-09(11:35:01),447
2022-12-09(11:36:50),380
2022-12-09(11:47:04),379
2022-12-09(11:47:31),359
2022-12-09(11:50:01),382
2022-12-09(11:52:04),351
2022-12-09(11:53:56),350
2022-12-09(11:54:33),351
2022-12-09(11:55:01),336
2022-12-09(11:58:58),320
2022-12-09(11:59:34),321
2022-12-09(12:00:01),318
2022-12-09(12:03:46),336
2022-12-09(12:04:05),329
2022-12-09(12:04:11),329
2022-12-09(12:05:01),317
2022-12-09(12:10:01),327
2022-12-09(12:15:01),304
2022-12-09(12:20:01),348
2022-12-09(12:25:01),314
2022-12-09(12:30:01),303
2022-12-09(12:35:01),312
2022-12-09(12:40:02),319
2022-12-09(12:45:01),316
2022-12-09(12:50:01),340
2022-12-09(12:55:01),356
2022-12-09(13:00:01),362
2022-12-09(13:05:01),365
2022-12-09(13:10:01),332
2022-12-09(13:12:11),311
2022-12-09(13:15:01),299
2022-12-09(13:18:10),306
2022-12-09(13:20:01),336
2022-12-09(13:25:01),333
2022-12-09(13:30:01),368
2022-12-09(13:35:01),367
2022-12-09(13:40:01),374
2022-12-09(13:45:01),350
2022-12-09(13:50:01),317
2022-12-09(13:55:01),297
2022-12-09(14:00:01),250
2022-12-09(14:05:01),236
2022-12-09(14:10:01),267
2022-12-09(14:15:01),247
2022-12-09(14:20:01),285
2022-12-09(14:25:01),273
2022-12-09(14:30:01),251
2022-12-09(14:35:01),228
2022-12-09(14:40:01),238
2022-12-09(14:45:01),252
2022-12-09(14:50:01),231
2022-12-09(14:55:01),248
2022-12-09(15:00:01),264
2022-12-09(15:05:01),244
2022-12-09(15:10:01),263
2022-12-09(15:15:01),311
2022-12-09(15:20:01),264
2022-12-09(15:25:01),307
2022-12-09(15:25:54),269
2022-12-09(15:30:01),252
2022-12-09(15:35:01),328
2022-12-09(15:40:01),351
2022-12-09(15:45:01),360
2022-12-09(15:50:01),358
2022-12-09(15:55:01),405
2022-12-09(16:00:01),446
2022-12-09(16:05:01),425
2022-12-09(16:10:01),362
2022-12-09(16:15:01),401
2022-12-09(16:20:01),405
2022-12-09(16:25:01),380
2022-12-09(16:30:01),458
2022-12-09(16:35:01),432
2022-12-09(16:40:01),463
2022-12-09(16:45:01),530
2022-12-09(16:50:01),571
2022-12-09(16:55:01),614
2022-12-09(17:00:01),589
2022-12-09(17:05:01),527
2022-12-09(17:10:01),659
2022-12-09(17:15:01),623
2022-12-09(17:20:01),579
2022-12-09(17:25:01),578
2022-12-09(17:30:02),609
2022-12-09(17:35:01),646
2022-12-09(17:40:01),672
2022-12-09(17:45:01),700
2022-12-09(17:50:01),739
2022-12-09(17:55:01),891
2022-12-09(18:00:02),860
2022-12-09(18:05:01),868
2022-12-09(18:10:01),743
2022-12-09(18:15:01),690
2022-12-09(18:20:01),652
2022-12-09(18:25:01),643
2022-12-09(18:30:01),674
2022-12-09(18:35:01),569
2022-12-09(18:40:01),572
2022-12-09(18:45:01),573
2022-12-09(18:50:01),515
2022-12-09(18:55:01),547
2022-12-09(19:00:01),463
2022-12-09(19:05:01),513
2022-12-09(19:10:01),498
2022-12-09(19:15:01),522
2022-12-09(19:20:01),494
2022-12-09(19:25:01),518
2022-12-09(19:30:01),586
2022-12-09(19:35:01),596
2022-12-09(19:40:01),588
2022-12-09(19:45:01),628
2022-12-09(19:50:01),634
2022-12-09(19:55:01),566
2022-12-09(20:00:01),584
2022-12-09(20:05:02),562
2022-12-09(20:10:01),475
2022-12-09(20:15:01),454
2022-12-09(20:20:01),385
2022-12-09(20:25:01),447
2022-12-09(20:30:01),452
2022-12-09(20:35:02),426
